County Code,District Code,Subgroup ID,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
1,61150,144,6,1,65.0,64.0,2590.2,37.5,48.44,85.94,10.94,3.13,64.0
1,61150,144,7,2,82.0,81.0,2586.6,34.57,22.22,56.79,25.93,17.28,81.0
1,61150,144,7,1,82.0,80.0,2586.8,26.58,43.04,69.62,18.99,11.39,79.0
1,61150,144,8,1,84.0,84.0,2607.6,29.27,41.46,70.73,19.51,9.76,82.0
1,61150,144,8,2,84.0,84.0,2587.6,32.14,21.43,53.57,20.24,26.19,84.0
1,61150,144,11,2,68.0,64.0,2645.2,26.56,35.94,62.5,21.88,15.63,64.0
1,61150,144,11,1,68.0,63.0,2643.3,50.79,22.22,73.02,17.46,9.52,63.0
1,61168,74,3,1,32.0,31.0,2347.4,3.23,6.45,9.68,35.48,54.84,31.0
1,61168,74,3,2,32.0,31.0,2373.8,6.45,9.68,16.13,35.48,48.39,31.0
1,61168,74,4,2,23.0,21.0,2416.3,4.76,19.05,23.81,19.05,57.14,21.0
1,61168,74,4,1,23.0,21.0,2403.1,4.76,9.52,14.29,28.57,57.14,21.0
1,61168,74,5,1,29.0,28.0,2464.6,3.57,28.57,32.14,28.57,39.29,28.0
1,61168,74,5,2,29.0,28.0,2497.4,10.71,21.43,32.14,42.86,25.0,28.0
1,61168,74,6,1,33.0,28.0,2428.1,0.0,7.14,7.14,25.0,67.86,28.0
1,61168,74,6,2,33.0,29.0,2420.4,0.0,6.9,6.9,24.14,68.97,29.0
1,61168,74,7,2,25.0,25.0,2420.0,0.0,8.0,8.0,16.0,76.0,25.0
1,61168,74,7,1,25.0,25.0,2455.1,4.0,12.0,16.0,16.0,68.0,25.0
1,61168,74,8,2,13.0,13.0,2404.7,0.0,0.0,0.0,7.69,92.31,13.0
1,61168,74,8,1,13.0,13.0,2442.4,0.0,0.0,0.0,23.08,76.92,13.0
1,61168,74,11,2,20.0,19.0,2459.4,0.0,5.26,5.26,0.0,94.74,19.0
1,61168,74,11,1,20.0,19.0,2520.5,0.0,31.58,31.58,36.84,31.58,19.0
1,61168,78,4,2,14.0,14.0,2472.9,21.43,28.57,50.0,28.57,21.43,14.0
1,61168,78,4,1,14.0,14.0,2451.6,7.14,35.71,42.86,35.71,21.43,14.0
1,61168,78,5,2,14.0,12.0,2508.2,16.67,8.33,25.0,66.67,8.33,12.0
1,61168,78,5,1,14.0,12.0,2474.0,8.33,25.0,33.33,41.67,25.0,12.0
1,61168,78,6,2,15.0,13.0,2444.2,0.0,15.38,15.38,23.08,61.54,13.0
1,61168,78,6,1,15.0,12.0,2447.1,8.33,8.33,16.67,33.33,50.0,12.0
1,61168,78,7,1,17.0,17.0,2476.0,11.76,5.88,17.65,23.53,58.82,17.0
1,61168,78,7,2,17.0,17.0,2428.4,0.0,11.76,11.76,17.65,70.59,17.0
1,61168,78,8,1,11.0,11.0,2525.3,18.18,18.18,36.36,18.18,45.45,11.0
1,61168,78,8,2,11.0,11.0,2505.4,18.18,18.18,36.36,0.0,63.64,11.0
1,61176,74,3,1,58.0,57.0,2384.0,12.28,17.54,29.82,26.32,43.86,57.0
1,61176,74,3,2,58.0,57.0,2390.7,8.77,12.28,21.05,28.07,50.88,57.0
1,61176,74,4,1,42.0,42.0,2444.8,14.29,19.05,33.33,30.95,35.71,42.0
1,61176,74,4,2,42.0,42.0,2444.9,9.52,23.81,33.33,35.71,30.95,42.0
