,District Code,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment,Total Revenue,Revenue per student
112,63370,BUTTONWILLOW UNION ELEMENTARY,3.0,339.0,27.0,3.0,1.0,0.0,1.0,374.0,4638000.0,12401.07
113,61663,BYRON UNION ELEMENTARY,92.0,527.0,1336.0,111.0,50.0,29.0,89.0,2234.0,57951000.0,25940.47
114,68890,CABRILLO UNIFIED,13.0,1685.0,1358.0,91.0,4.0,5.0,123.0,3279.0,28575000.0,8714.55
115,67991,CAJON VALLEY UNION,1025.0,6065.0,8086.0,497.0,34.0,90.0,1127.0,16924.0,174505000.0,10311.1
116,10058,CALAVERAS COUNTY OFFICE OF EDUCATION,10.0,102.0,354.0,2.0,6.0,3.0,48.0,525.0,15581000.0,29678.1
117,61564,CALAVERAS UNIFIED,20.0,554.0,2123.0,37.0,49.0,6.0,143.0,2932.0,17680000.0,6030.01
118,63099,CALEXICO UNIFIED,4.0,9185.0,30.0,27.0,1.0,0.0,5.0,9252.0,128881000.0,13930.07
119,63388,CALIENTE UNION ELEMENTARY,0.0,5.0,43.0,0.0,0.0,0.0,3.0,51.0,648000.0,12705.88
120,63107,CALIPATRIA UNIFIED,28.0,1014.0,95.0,4.0,0.0,0.0,9.0,1150.0,15093000.0,13124.35
121,66241,CALISTOGA JOINT UNIFIED,0.0,712.0,115.0,14.0,1.0,0.0,17.0,859.0,3780000.0,4400.47
122,69385,CAMBRIAN,91.0,812.0,1549.0,673.0,23.0,14.0,352.0,3514.0,19622000.0,5583.95
123,61846,CAMINO UNION ELEMENTARY,0.0,154.0,292.0,0.0,12.0,1.0,44.0,503.0,4226000.0,8401.59
124,69393,CAMPBELL UNION,262.0,3515.0,1809.0,1170.0,15.0,46.0,648.0,7465.0,53838000.0,7212.06
125,69401,CAMPBELL UNION HIGH,202.0,2684.0,3148.0,1316.0,31.0,52.0,377.0,7810.0,44289000.0,5670.81
